# R [Å] 	 single electron WF 	 density 	 V [a.u.]
3.85375e+00	5.57405e-02	6.21400e-03	-4.64231e-02
3.86611e+00	5.50319e-02	6.05701e-03	-4.59759e-02
3.87846e+00	5.43321e-02	5.90395e-03	-4.55332e-02
3.89081e+00	5.36410e-02	5.75471e-03	-4.50949e-02
3.90316e+00	5.29585e-02	5.60920e-03	-4.46609e-02
3.91551e+00	5.22844e-02	5.46732e-03	-4.42312e-02
3.92787e+00	5.16188e-02	5.32900e-03	-4.38057e-02
3.94022e+00	5.09615e-02	5.19414e-03	-4.33845e-02
3.95257e+00	5.03123e-02	5.06266e-03	-4.29674e-02
3.96492e+00	4.96713e-02	4.93447e-03	-4.25545e-02
3.97727e+00	4.90382e-02	4.80949e-03	-4.21456e-02
3.98962e+00	4.84130e-02	4.68764e-03	-4.17408e-02
4.00198e+00	4.77957e-02	4.56885e-03	-4.13399e-02
4.01433e+00	4.71860e-02	4.45304e-03	-4.09431e-02
4.02668e+00	4.65840e-02	4.34014e-03	-4.05501e-02
4.03903e+00	4.59895e-02	4.23007e-03	-4.01610e-02
4.05138e+00	4.54024e-02	4.12276e-03	-3.97757e-02
4.06374e+00	4.48227e-02	4.01815e-03	-3.93942e-02
4.07609e+00	4.42503e-02	3.91617e-03	-3.90164e-02
4.08844e+00	4.36850e-02	3.81675e-03	-3.86423e-02
4.10079e+00	4.31268e-02	3.71984e-03	-3.82720e-02
4.11314e+00	4.25756e-02	3.62536e-03	-3.79052e-02
4.12549e+00	4.20313e-02	3.53325e-03	-3.75421e-02
4.13785e+00	4.14938e-02	3.44347e-03	-3.71825e-02
4.15020e+00	4.09631e-02	3.35595e-03	-3.68264e-02
4.16255e+00	4.04390e-02	3.27063e-03	-3.64738e-02
4.17490e+00	3.99216e-02	3.18746e-03	-3.61246e-02
4.18725e+00	3.94106e-02	3.10639e-03	-3.57789e-02
4.19960e+00	3.89061e-02	3.02736e-03	-3.54365e-02
4.21196e+00	3.84079e-02	2.95033e-03	-3.50975e-02
4.22431e+00	3.79160e-02	2.87524e-03	-3.47618e-02
4.23666e+00	3.74302e-02	2.80204e-03	-3.44294e-02
4.24901e+00	3.69506e-02	2.73070e-03	-3.41002e-02
4.26136e+00	3.64771e-02	2.66115e-03	-3.37742e-02
4.27372e+00	3.60095e-02	2.59336e-03	-3.34514e-02
4.28607e+00	3.55478e-02	2.52729e-03	-3.31317e-02
4.29842e+00	3.50919e-02	2.46288e-03	-3.28151e-02
4.31077e+00	3.46418e-02	2.40010e-03	-3.25016e-02
4.32312e+00	3.41973e-02	2.33891e-03	-3.21912e-02
4.33547e+00	3.37585e-02	2.27927e-03	-3.18838e-02
4.34783e+00	3.33252e-02	2.22114e-03	-3.15793e-02
4.36018e+00	3.28974e-02	2.16448e-03	-3.12779e-02
4.37253e+00	3.24750e-02	2.10925e-03	-3.09793e-02
4.38488e+00	3.20579e-02	2.05542e-03	-3.06836e-02
4.39723e+00	3.16461e-02	2.00296e-03	-3.03908e-02
4.40958e+00	3.12396e-02	1.95182e-03	-3.01009e-02
4.42194e+00	3.08381e-02	1.90198e-03	-2.98137e-02
4.43429e+00	3.04418e-02	1.85341e-03	-2.95293e-02
4.44664e+00	3.00505e-02	1.80606e-03	-2.92477e-02
4.45899e+00	2.96641e-02	1.75992e-03	-2.89688e-02
4.47134e+00	2.92827e-02	1.71495e-03	-2.86926e-02
4.48370e+00	2.89060e-02	1.67112e-03	-2.84191e-02
4.49605e+00	2.85342e-02	1.62840e-03	-2.81482e-02
4.50840e+00	2.81671e-02	1.58677e-03	-2.78800e-02
4.52075e+00	2.78046e-02	1.54619e-03	-2.76143e-02
4.53310e+00	2.74467e-02	1.50665e-03	-2.73512e-02
4.54545e+00	2.70934e-02	1.46811e-03	-2.70906e-02
4.55781e+00	2.67446e-02	1.43054e-03	-2.68325e-02
4.57016e+00	2.64002e-02	1.39394e-03	-2.65770e-02
4.58251e+00	2.60602e-02	1.35826e-03	-2.63239e-02
4.59486e+00	2.57245e-02	1.32350e-03	-2.60732e-02
4.60721e+00	2.53930e-02	1.28961e-03	-2.58249e-02
4.61957e+00	2.50658e-02	1.25659e-03	-2.55791e-02
4.63192e+00	2.47428e-02	1.22441e-03	-2.53356e-02
4.64427e+00	2.44238e-02	1.19305e-03	-2.50944e-02
4.65662e+00	2.41090e-02	1.16248e-03	-2.48556e-02
4.66897e+00	2.37981e-02	1.13270e-03	-2.46191e-02
4.68132e+00	2.34912e-02	1.10367e-03	-2.43848e-02
4.69368e+00	2.31882e-02	1.07539e-03	-2.41528e-02
4.70603e+00	2.28891e-02	1.04782e-03	-2.39230e-02
4.71838e+00	2.25938e-02	1.02096e-03	-2.36955e-02
4.73073e+00	2.23022e-02	9.94780e-04	-2.34701e-02
4.74308e+00	2.20144e-02	9.69269e-04	-2.32469e-02
4.75543e+00	2.17303e-02	9.44409e-04	-2.30258e-02
4.76779e+00	2.14497e-02	9.20183e-04	-2.28068e-02
4.78014e+00	2.11728e-02	8.96575e-04	-2.25900e-02
4.79249e+00	2.08994e-02	8.73570e-04	-2.23752e-02
4.80484e+00	2.06295e-02	8.51151e-04	-2.21625e-02
4.81719e+00	2.03630e-02	8.29306e-04	-2.19518e-02
4.82955e+00	2.01000e-02	8.08017e-04	-2.17432e-02
4.84190e+00	1.98403e-02	7.87273e-04	-2.15365e-02
4.85425e+00	1.95839e-02	7.67058e-04	-2.13318e-02
4.86660e+00	1.93308e-02	7.47360e-04	-2.11291e-02
4.87895e+00	1.90809e-02	7.28165e-04	-2.09284e-02
4.89130e+00	1.88343e-02	7.09461e-04	-2.07295e-02
4.90366e+00	1.85908e-02	6.91235e-04	-2.05326e-02
4.91601e+00	1.83504e-02	6.73475e-04	-2.03375e-02
4.92836e+00	1.81131e-02	6.56169e-04	-2.01443e-02
4.94071e+00	1.78788e-02	6.39305e-04	-1.99530e-02
4.95306e+00	1.76476e-02	6.22873e-04	-1.97635e-02
4.96542e+00	1.74193e-02	6.06861e-04	-1.95758e-02
4.97777e+00	1.71939e-02	5.91260e-04	-1.93898e-02
4.99012e+00	1.69714e-02	5.76057e-04	-1.92057e-02
5.00247e+00	1.67518e-02	5.61243e-04	-1.90233e-02
5.01482e+00	1.65349e-02	5.46809e-04	-1.88427e-02
5.02717e+00	1.63209e-02	5.32744e-04	-1.86638e-02
5.03953e+00	1.61096e-02	5.19040e-04	-1.84866e-02
5.05188e+00	1.59010e-02	5.05686e-04	-1.83111e-02
5.06423e+00	1.56951e-02	4.92675e-04	-1.81373e-02
5.07658e+00	1.54919e-02	4.79997e-04	-1.79651e-02
5.08893e+00	1.52912e-02	4.67644e-04	-1.77946e-02
5.10128e+00	1.50932e-02	4.55607e-04	-1.76257e-02
5.11364e+00	1.48976e-02	4.43879e-04	-1.74584e-02
5.12599e+00	1.47046e-02	4.32452e-04	-1.72927e-02
5.13834e+00	1.45141e-02	4.21317e-04	-1.71286e-02
5.15069e+00	1.43260e-02	4.10468e-04	-1.69661e-02
5.16304e+00	1.41403e-02	3.99898e-04	-1.68051e-02
